ID,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,レベル
1,限り,かぎり,যতক্ষন পর্যন্ত না,হয়তো ,আসলে ,যতক্ষন পর্যন্ত না,যতক্ষন পর্যন্ত না,本日限り、飲み物は８０円にします｡,শুধুমাত্র আজকের জন্য পানীয় 80 ইয়েন হবে,バングラデシュ語,N2
,恐らく,おそらく,সম্ভবত,দুর্ভাগ্যবশত,সত্যিই,সম্ভবত,সম্ভবত,恐らく、彼は来ない,হয়তো সে আসবে না,バングラデシュ語,N2
,実に,じつに,প্রকৃতপক্ষে,আসলে,পরিষ্কারভাবে,প্রকৃতপক্ষে,প্রকৃতপক্ষে,かれの作るカレーは実においしい。,তিনি যে তরকারি তৈরি করেন তা সত্যিই সুস্বাদু।,バングラデシュ語,N2
,交代,こうたい,প্র্রতিস্থাপন,কঠিন,প্র্রতিস্থাপন,থিম,প্র্রতিস্থাপন,社長が変わると、役員も交代することが多い。,রাষ্ট্রপতি পরিবর্তন হলে পরিচালক রাও পরিবর্তন করে,バングラデシュ語,N2
,慎重に,しんちょうに,সাবধান,ওঙ্কু,সাবধানে,ইয়োকেই,সাবধানে,この機会は壊れやすいので、しんちょうに運んでください。,"এই মেশিনটি ভঙ্গুর, তাই দয়া করে এটি সাবধানে বহন করুন।",バングラデシュ語,N2
,解決,かいけつ,সমাধান,কাইতাত্সু,গুরুত্ব,সমাধান,সমাধান,ようやく、問題がかいけつしそうだ。,সমস্যা সমাধান করা হয়েছে বলে মনে হচ্ছে,バングラデシュ語,N2
,触れない,ふれない,স্পর্শ করবেন না,স্পর্শ করে না,আমাকে স্পর্শ করবেন না,দোলাবেন না, স্পর্শ করবেন না,すみません、それをふれないでください。,দুঃখিত এটা স্পর্শ করবেন না,バングラデシュ語,N2
,恵まれた,めぐまれた,ধন্য,ধন্য,আমি চিৎকার করে উঠলাম,উল্টে গেল,ধন্য,彼女は、才能にめぐまれた人だ思う。,আমি মনে করি সে প্রতিভাবান,バングラデシュ語,N2
,鋭い,するどい,তীক্ষ্ণ,আশ্চর্যজনক,উগ্র,তীক্ষ্ণ,তীক্ষ্ণ,彼はときどき、するどい意見を言う。,তিনি মাঝে মাঝে তীক্ষ্ণ মতামত দেন,バングラデシュ語,N2
,周辺,しゅうへん,পার্শ্ববর্তী,শোমি,শুভেন,পার্শ্ববর্তী,পার্শ্ববর্তী,毎日、公園の周辺を30分歩く。,প্রতিদিন 30 মিনিটের জন্য পার্কের চারপাশে হাঁটুন,バングラデシュ語,N2
,派手,はで,চটকদার,চটকদার,বাদে,আবরণ,চটকদার,地味な色より、派手な色の方が好きだ。,আমি প্লেইন রঙের চেয়ে চটকদার রং পছন্দ করি,バングラデシュ語,N2
,眼鏡,めがね,চশমা,ঘড়ি,চশমা,ঘুম,চশমা,このクラスは眼鏡をかけている人が多い。,এই শ্রেণীর অনেকেই চশমা পরেন।,バングラデシュ語,N2
,評判,ひょうばん, খ্যাতি,খ্যাতি,অভিব্যক্তি,প্রদর্শন,খ্যাতি,新商品の評判がいい。,নতুন পণ্য জন্য ভাল খ্যাতি,バングラデシュ語,N2
,医療,いりょう,স্বাস্থ্য সেবা,স্বাস্থ্য সেবা,চিকিৎসা সনদপত্র,সান্ত্বনা,স্বাস্থ্য সেবা,医療が進歩する。,স্বাস্থ্য সেবা　উন্নতি　করা।,バングラデシュ語,N2
,警備,けいび,নিরাপত্তা,শিক্ষা,শৃঙ্খলা,নিরাপত্তা,নিরাপত্তা,空港で警備の仕事をしています。,আমি এয়ারপোর্টে সিকিউরিটি গার্ড হিসেবে কাজ করি,バングラデシュ語,N2
,警告,けいこく,রিপোর্ট,রিপোর্ট,কোরিয়া,ব্যায়াম,রিপোর্ট,スーピドの出しすぎは危険だと警告された。,অতিরিক্ত গতি বিপজ্জনক বলে জানা গেছে।,バングラデシュ語,N2
,勤めてる,つとめてる,কাজ,কাজ করতে পারে,কাজ,কঠোর পরিশ্রম,কাজ,30年以上、同じ会社に勤めている。,আমি 30 বছরেরও বেশি সময় ধরে একই কোম্পানিতে কাজ করছি।,バングラデシュ語,N2
,握る,にぎる,আঁকড়ে ধরে,আঁকড়ে ধরে,ঝাঁকি,অগ্রিম,আঁকড়ে ধরে,子供の手をしっかりと握る。,আপনার সন্তানের হাত শক্ত করে ধরুন।,バングラデシュ語,N2
,深刻な,しんけんな,গুরুতর,তন্দ্রাচ্ছন্ন দেখাচ্ছে,খুশি দেখাচ্ছে,গুরুতর,গুরুতর,彼は深刻な表情をして座っている。,মুখের দিকে গম্ভীর দৃষ্টি নিয়ে বসে আছে।,バングラデシュ語,N2
