ID,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,レベル
1,人生,じんせい,cuộc sống,sinh hoạt,cuộc sống,mức sống,cuộc sống,幸せな人生を送る,sống một cuộc sống hạnh phúc,ベトナム語,N2
2,人間,にんげん,con người,con người,kiểu người,loại người,con người,人間は皆、平等である,"là con người, mọi người đều bình đẳng",ベトナム語,N2
3,人,ひと,người,đi vào,tiến vào,người,người,若い人は元気でいいね,người trẻ thật tốt khi có sức khỏe nhỉ,ベトナム語,N2
4,祖先,そせん,tổ tiên,ông bà,tổ tiên,Con út,tổ tiên,人類の祖先は、アフリカで発生したと考えられている,tổ tiên loài người phát triển từ Châu Phi,ベトナム語,N2
5,親戚,しんせき,họ hàng,họ hàng,hàng xóm,con một,họ hàng,家の親戚は皆近くに住んでいる,họ hàng tôi đều sống gần đây,ベトナム語,N2
6,夫婦,ふうふ,vợ chồng,vỗ,vợ chồng,anh em họ,vợ chồng,二人は結婚して夫婦になった,hai người kết hôn trở thành vợ chồng,ベトナム語,N2
7,長男,ちょうなん,trưởng nam,con út,trưởng nam,trưởng thứ,trưởng nam,日本では、長男は大事にされる傾向があった,"ở Nhật, trưởng nam có huynh hướng được coi trong",ベトナム語,N2
8,主人,しゅじん,"chồng,chủ tiệm",Quầy lễ tân,quản lý,"chồng,chủ tiệm","chồng,chủ tiệm",あのそば屋の主人はまだ若いが、腕はいい,chủ cửa hàng Soba kia tuy trẻ nhưng tay nghề rất tốt,ベトナム語,N2
9,双子,ふたご,sinh đôi,sinh bốn,sinh ba,sinh đôi,sinh đôi,私には双子の弟がいます,tôi có người em sinh đôi,ベトナム語,N2
10,迷子,まいご,trẻ bị lạc,năng lực,trẻ bị lạc,cho phép,trẻ bị lạc,東京駅は広くて迷子になりそうだ,ga tokyo rộng nên bị lạc,ベトナム語,N2
11,他人,たにん,người khác,người khác,con trai,Con trai cả,người khác,友達だと思って声を掛けたら、まったくの他人だった,"tưởng là bạn nên tiếng gọi, nhưng là người hoàn toàn khác",ベトナム語,N2
12,敵,てき,kẻ thù,kẻ thù,đồng minh,hậu phương,kẻ thù,兄弟は敵と味方に分かれて戦った,"2 anh em phân chia bên bạn, bên thù, đánh nhau",ベトナム語,N2
13,味方,みかた,"bạn bè, đồng minh",trẻ bị lạc,"bạn bè, đồng minh",thống nhất,"bạn bè, đồng minh",何があっても、私はあなたの味方です,dù có chuyện gì xảy ra tôi sẽ luôn là bạn anh,ベトナム語,N2
14,筆者,ひっしゃ,tác giả,đạo diễn,tác giả,biên tập viên,tác giả,筆者のもっとも言いたいことを下から選びなさい,"tác giả muốn nói điều gì nhất, hãy chọn bên dưới",ベトナム語,N2
15,寿命,じゅみょう,tuổi thọ,tuổi thọ,ý chí,sở thích,tuổi thọ,医学に進歩によって、人間の寿命は１００年前に比べるとずいぶん伸びた,với tiến bộ y học thì tuổi thọ con người so với 100 năm trước đã cao hơn,ベトナム語,N2
16,将来,しょうらい,tương lai,quá khứ,hiện tại,tương lai,tương lai,将来の希望は海外で働くことだ,tôi có nguyện vọng tương lai là làm ở công ty nước ngoài,ベトナム語,N2
17,才能,さいのう,tài năng,kỹ năng,đá,tài năng,tài năng,彼女には、音楽の才能がある,cô ấy có tài năng về âm nhạc,ベトナム語,N2
18,能力,のうりょく,năng lực,năng lực,dây,đi làm,năng lực,私にはこの問題を解決する能力がない,tôi không có năng lực giải quyết vấn đề này,ベトナム語,N2
19,長所,ちょうしょ,sở trường,toàn bộ cơ thể,sở trường,thành đạt,sở trường,あなたの性格の長所と短所を言ってください,hãy cho tôi biết điểm mạnh và điểm yếu của bạn ,ベトナム語,N2
20,個性,こせい,cá tính,trang phục,cá tính,địa vị,cá tính,子供たちの個性を伸ばすような教育がしたい,muốn giáo dục để phát triển cá tính con trẻ,ベトナム語,N2
21,遺伝,いでん,di truyền,lời cảm ơn,di truyền,tham gia kỳ thi,di truyền,私の左利きは親からの遺伝だ,tôi thuận tay trái là do di truyền từ cha mẹ,ベトナム語,N2
22,動作,どうさ,động tác,động tác,người,cử động,động tác,彼女の動作は優雅で美しい,"động tác của em dịu dàng, đẹp đẽ",ベトナム語,N2
23,真似,まね,bắt chước,ổn định,tổ tiên,bắt chước,bắt chước,子供は何でも親のまねをしたがるものだ,trẻ con thường thích bắt chước cha mẹ,ベトナム語,N2
24,睡眠,すいみん,ngủ,lo lắng,họ hàng,ngủ,ngủ,アンケートの結果、睡眠時間は平均７時間という人が最も多かった,"theo điều tra, trung bình số người ngủ 7 tiếng mỗi ngày là nhiều nhất",ベトナム語,N2
25,食欲,しょくよく,thèm ăn,đông đúc,vợ chồng,thèm ăn,thèm ăn,今、風を引いて食欲がない,bị cảm nên không thèm ăn gì cả,ベトナム語,N2
26,外食,がいしょく,ăn ngoài,phát triển,ăn ngoài,ăn trưa,ăn ngoài,一人暮らしになって、外食が増えた,sống một mình nên thường ăn ngoài,ベトナム語,N2
