0,,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,レベル
1,努力,どりょく,Nổ lực,cuộc sống  ,Nổ lực,cố gắng,Nổ lực,一生懸命、努力をしています。,Tôi đang làm việc chăm chỉ và cố gắng.,ベトナム語,N3
2,湿気,しっけ,ẩm thấp,Ẩm ướt ,ẩm thấp,hứng thú,ẩm thấp,日本の夏は湿気が多いです。,Mùa hè ở Nhật Bản ẩm ướt.,ベトナム語,N3
3,性格,せいかく,tính cách,tính năng,tính cách,nhớ lại,tính cách,あの人は性格がいいので、みんなに好かれています。,Người đó có nhân cách tốt nên ai cũng quý mến.,ベトナム語,N3
4,知人,ちじん,người quen,bạn bè,người quen,muc dich,người quen,今朝、電車で知人に会いました。,"Sáng nay, tôi gặp một người quen trên tàu.",ベトナム語,N3
5,身長,しんちょう,chiều cao,sở thích,chiều cao,lời hứa,chiều cao,兄は身長が高いです。,Anh trai của tôi cao.,ベトナム語,N3
6, 暖房,だんぼう,Hệ thống sưởi ,himg thi,Hệ thống sưởi ,nói chuyện ,Hệ thống sưởi ,寒いので暖房つけています。,Trời lạnh nên tôi bật máy sưởi.,ベトナム語,N3
7,煙,けむり,Khói,nhớ lại,Khói,chịu dựng,Khói,タバコの煙は体悪いです。,Khói thuốc lá có hại cho bạn.,ベトナム語,N3
8,故郷,こきょう,Bận rộn,đùa cợt,Bận rộn,làm phiền,Bận rộn,仕事忙しいくて、もう何年も故郷に帰っていません。,Đã nhiều năm tôi không về quê vì bận công việc.,ベトナム語,N3
9,芸術　,げいじゅつ,Hội hoạ,mue dich,Hội hoạ,hi vọng,Hội hoạ,日本の芸術に興味がある,Tôi quan tâm đến nghệ thuật Nhật Bản,ベトナム語,N3
10,岩,いわ,Hòn đá,Hòn đá,lời hứn,giấc mơ,Hòn đá,大きな岩の上に座って、海を見ました。,Tôi ngồi trên một tảng đá lớn và nhìn ra biển.,ベトナム語,N3
11,見下ろす,みおろす,Nhìn xuống,Nhìn xuống,nổi chuyên nêng,đồng ý,Nhìn xuống,山の上から、町を見下ろす,Nhìn xuống thị trấn từ trên đỉnh núi,ベトナム語,N3
12,見上げす,みあげす,Nhìn lên,Nhìn lên,ngại ngần,đối lập,Nhìn lên,空を見上げると、星がいっぱいだった。,"Khi tôi nhìn lên bầu trời, nó đầy sao.",ベトナム語,N3
