nb  ,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,レベル
1,生活,せいかく,cuộc sống,tính cách,cuộc sống,Mối quan hệ,cuộc sống,健康的な生活を送る,Sống một cuộc sống khoẻ mạnh,ベトナム語,N3
2,進学,しんがく,vào đại học,vào đại học,lý tưởng,cảm giác,vào đại học,子供の進学について考える,Suy nghĩ về việc học cao hơn của con bạn,ベトナム語,N3
3,出身,しゅっしん,quê quán,thua,quê quán,không giữ,quê quán,ご出身はどちらですか,Bạn đến từ đâu,ベトナム語,N3
4,成長,せいちょう,trưởng thành ,đón,tích cực,trưởng thành ,trưởng thành ,子供の成長を喜ぶ,Vui mừng vì sự trưởng thành của con bạn,ベトナム語,N3
5,帰宅,きたく,về nhà,sự bắt đầu,về nhà,tha thứ,về nhà,毎日忙しくて帰宅が遅い,Ngày nào tôi cũng bận và về nhà muộn,ベトナム語,N3
6,知り合い,しりあい,người quen biết,sự kết thúc,"thay,đổi",người quen biết,người quen biết,知り合いに息子の就職を頼む。,Nhờ người quen tìm việc cho con trai,ベトナム語,N3
7,仲,なか,bạn bè tốt,bạn bè tốt,trả lại,thái độ,bạn bè tốt,私は山内と仲がいい。,Tôi là bạn tốt của yamauchi,ベトナム語,N3
8,面接,めんせつ,phỏng vấn,chia,phỏng vấn,thực tế,phỏng vấn,今日、会社の人との面接がある,Hôm nay tôi có cuộc phỏng vấn với một người ở công ty,ベトナム語,N3
9,成功,せいこう,thành công,thành công,Con trai cả,đau đầu,thành công,実験に成功する,Thành công trong thí nghiệm,ベトナム語,N3
10,失敗,しっぱい,thất bại,cười,thất bại,dư dã,thất bại,実験の失敗で、計画はちゅうしになった,Thí nghiệm thất bại,ベトナム語,N3
11,未来,みらい,tương lai,sự đau thương,tương lai,ổn định,tương lai,誰も未来のことは分からない,Cô ấy tâm huyết với việc giáo dục trẻ em,ベトナム語,N3
12,熱心,ねっしんな,nhiệt tình,thoã mãn,nhiệt tình,lo lắng,nhiệt tình,彼女は子供の教育に熱心だ,Chân tôi bị trượt,ベトナム語,N3
13,夢中,むちゅうな,say sưa,bất mãn,anh em họ,say sưa,say sưa,彼は生まれたばかりの子供に夢中だ,Anh ấy say sưa vì đứa con mới chào đời,ベトナム語,N3
14,健康,けんこう,sức khoẻ,bất an,sức khoẻ,phát triển,sức khoẻ,毎日運動をしていたら、とても健康になった,Tập thể dục hàng ngày,ベトナム語,N3
15,苦しい,くるしい,cực khổ,"Bọc,gói",cực khổ,hỗn loạn,cực khổ,経営がうまくいかず、社長はくるしい立場におかれた。,Ban lãnh đạo công ty vốn đã trở nên rất khoẻ,ベトナム語,N3
16,満足,まんぞく,lạc thú,Dán,họ hàng,lạc thú,lạc thú,頑張ったので２いでも満足だ。,Tôi đã làm việc chăm chỉ nên cô ấy hài lòng,ベトナム語,N3
17,滑る,すべる,trượt ,Hết,trượt ,xúc động,trượt ,足が滑った。,Chân tôi bị trượt,ベトナム語,N3
18,下がる,さがる,hạ xuống,Làm mất,hạ xuống,thiết thực,hạ xuống,白線の内側に下がってお待ちください,Vui lòng đứng lùi vào trong vạch trắng và đợi,ベトナム語,N3
19,数える,かぞえる,Số đếm,Số đếm,Người yêu,thống nhất,受付,かずを数える,Nếu vay tiền thì việc trả lại là điều đương nhiên.,ベトナム語,N3
20,悩む,なやむ,kho,Trễ,kho,thiếu,kho,どれにしようと悩んだあけく何にもしないになる,"Trong khi điều tra vụ tai nạn, một sự thật đáng ngạc nhiên đã được phát hiện.",ベトナム語,N3
21,集まり,あつまり,tập trung,từ chối,Đối phương,tập trung,tập trung,あしたじゅう人のあつまり,Cô ấy là người rất thời trang,ベトナム語,N3
22,踊り,おどり,nhảy múa,mời,nhảy múa,truyền thống,nhảy múa,留学生ががっごくを踊り,Sinh viên quốc tế ,ベトナム語,N3
23,思い,おもい,"nghĩ,cảm nhận","nghĩ,cảm nhận",tính cách,tích cực,"nghĩ,cảm nhận",あの人に私の思いが届いて,Cảm xúc của tôi đã chạm tới người đó,ベトナム語,N3
24,手伝って,てつだって,Giúp đỡ,Giúp đỡ,giống trẻ con,bình quân ,Giúp đỡ,引っ越しのてつだいをする,Anh ấy là người được mền mộ nhất lớp.,ベトナム語,N3
25,働き,はたらき,làm việc,không giữ,làm việc,"thay,đổi",làm việc,私のアルバトはミニストップではたらきます。,Thu nhận nhiều thông tin từ tivi,ベトナム語,N3
26,騒ぎ,さわぎ,náo loạn,tuân theo,náo loạn,trả lại,náo loạn,今日、駅前で騒ぎがあって。,Không thể kiếm được thu nhập thỏa đáng chỉ bằng cách làm việc bán thời gian.,ベトナム語,N3
27,知らせ,しらせ,thông báo,thông báo,tính cách vui vẻ,cho phép,thông báo,ちちが入院したという知らせがあった。,Tôi không có phàn nàn gì về công việc này.,ベトナム語,N3
28,疲れ,つかれ,mệt mỏi,vỗ,mệt mỏi,Con trai cả,mệt mỏi,仕事で疲れが溜まっている,Tôi nhận được email lạ nên xóa ngay,ベトナム語,N3
29,続き,つづき,sự tiếp tục,sự tiếp tục,lạnh lùng,Con gái cả,sự tiếp tục,早く本の続きがよみたい。,Một câu chuyện bí ẩn được kể ở ngôi làng đó.,ベトナム語,N3
30,暮れ,くれ,"chiều ,cuối",thực tế,chi tiết,"chiều ,cuối","chiều ,cuối",としの暮れはいそがしい,Chi 100 man mal say nhà thi là chuyên,ベトナム語,N3
31,急ぎ,いそぎ,khẩn cấp,khẩn cấp,tích cực,con một,khẩn cấp,急ぎの仕事が入ります,vào làm việc khẩn cấp,ベトナム語,N3
32,負け,まけ,thua,dư dã,bình quân ,thua,thua,負けが続いて、いやになって,Cửa hàng bách hóa đông đúc người.,ベトナム語,N3
33,迎え,むかえ,đón,ổn định,đón,Người cháu,đón,むかえの車がなかなか来ない,Đường tắc nghẽn và tôi đến cuộc họp muộn.,ベトナム語,N3
34,始まり,まじまり,sự bắt đầu,sự bắt đầu,trả lại,anh em sinh đôi,sự bắt đầu,えいがの始まりに間に合わなかった,Tôi đã nhìn thấy hiện trường vụ va chạm tàu ​​hỏa.,ベトナム語,N3
35,終わり,おわり,sự kết thúc,đông đúc,sự kết thúc,họ hàng,sự kết thúc,夏休みはもうすぐ終わった,Thiệt hại do bão,ベトナム語,N3
36,戻り,もどり,trở lại,phát triển,trở lại,vợ chồng ,trở lại,今日のもどりは3時ごろになります。,Điều tra nguyên nhân vụ tai nạn.,ベトナム語,N3
37,別れ,わかれ,chia,chia,Con gái cả,bạn thân,chia,にほんでは3月は別れの季節,Có một vụ việc trẻ em lần lượt biến mất trong khu phố.,ベトナム語,N3
38,喜び,よろこび,sự phấn khởi,cơ bản,Con út,sự phấn khởi,sự phấn khởi,優勝できて喜びいっぱいだ。,Đang học tiếng anh nhưng không tiến bộ,ベトナム語,N3
39,笑い,わらい,cười,xúc động,cười,đồng nghiệp,cười,歌手の会場に笑いが起きた。,Máy tính của tôi bị hỏng nên tôi gửi nó đi sửa.,ベトナム語,N3
40,悲しみ,かなしみ,sự đau thương,sự đau thương,anh em họ,Đối phương,sự đau thương,悲しみを力に返る。,Nó có xu hướng trở nên nặng nề và mất điện.,ベトナム語,N3
41,満足な,まんぞく,thoã mãn,thống nhất,thoã mãn,người quen,thoã mãn,アルバイトだけでは満足なしゅうにはえらない。,Tôi rất lo lắng trong cuộc phỏng vấn và không thể trả lời tốt.,ベトナム語,N3
42,不満な,ふまんな,bất mãn,bất mãn,anh em sinh đôi,tính cách,bất mãn,このしごとは不満な点がない。,Tôi tự tin vào sức mạnh thể chất của mình,ベトナム語,N3
43,不安な,ふあんな,bất an,lý tưởng,họ hàng,bất an,bất an,最近、体の調子が良くない、悪いひようきではないかと不安だ,làm món ăn đặc biệt của riêng bạn,ベトナム語,N3
44,包む,つつむ,"Bọc,gói",truyền thống,"Bọc,gói",Tính cách xấu,"Bọc,gói",残ったお菓子を包んで持って帰る,Tôi rất ấn tượng với tốc độ tiến bộ của Chin.,ベトナム語,N3
45,張る,はる,Dán,tích cực,Dán,tính cách rầu rĩ,Dán,はがきに切ってを張る,Quan điểm của bạn là gì?,ベトナム語,N3
46,無くなる,なくなる,Hết,bình quân ,đủ,Hết,Hết,へやかぎがなくなってしまった。,Thật là tuyệt.,ベトナム語,N3
47,無くす,なくす,Làm mất,Làm mất,đánh rơi,tính chất đàn ông,Làm mất,本を無くす,dự đoán kết quả bầu cử,ベトナム語,N3
48,足りる,たりる,Đủ,thừa,Đủ,lạnh lùng,Đủ,4語で足りる,Tôi đang nghiên cứu chính trị Nhật Bản tại trường đại học.,ベトナム語,N3
49,遅刻,ちこく,Trễ,đến,Trễ,chi tiết,Trễ,今日は学校遅刻した,làm nghiên cứu,ベトナム語,N3
50,断る,ことわる,từ chối,từ chối,thực tế,tính cách,từ chối,私はその金を受け取ることを断った,Hiện cảnh sát đang điều tra nguyên nhân vụ tai nạn,ベトナム語,N3
51,誘う,さそう,mời,Con gái cả,mời,khẩn cấp,mời,りさんを映画に誘う,Người không chủ ý (bất cần),ベトナム語,N3
52,間柄,あいだがら,Mối quan hệ,Mối quan hệ,dư dã,thua,Mối quan hệ,あの方と私は指定の間柄です,Biên dịch tiểu thuyết tiếng nhật sang tiếngJanh,ベトナム語,N3
53,感じる,かんじる,cảm giác,con một,ổn định,cảm giác,cảm giác,足が痺れて感じがなくなる,ngồi quanh một cái bàn,ベトナム語,N3
54,破る,やぶる,không giữ,anh em họ,không giữ,sự bắt đầu,không giữ,政界記録を破る,Công việc này không có điểm gì không hải,ベトナム語,N3
55,守る,まもる,tuân theo,Người cháu,đông đúc,tuân theo,tuân theo,車を止まる場所が守る,Nó nặng vì chứa rất nhiều đồ Đóng đồ vào túi xách,ベトナム語,N3
56,許す,ゆるす,tha thứ,tha thứ,phát triển,trở lại,tha thứ,お母さんの悪口は私が許す,cánh cửa mở ra,ベトナム語,N3
