,  言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,
1,支給,しきゅう,प्राबधान,सहायता,प्राबधान,संरक्षण गर्नुहोस्,प्रावधान, 給料は月末に支給される,तलब महिनाको अन्त्यमा भुक्तानी गरिन्छ।,ネパール語,N2
2,　対応,たいおう,प्रतिक्रिया,संयुक्त,पुन: सुरु गर्नुहोस्,प्रतिक्रिया,प्रतिक्रिया दिनुहोस्,面接の質問にしっかり対応できたと思う。,मलाई लाग्छ कि मैले अन्तर्वार्ताका प्रश्नहरूको राम्रो जवाफ दिन सकें।,ネパール語,N2
3,受け取る,うけとり,प्राप्ती,उल्लेख नगर,प्राप्ति,रहनुहोस्,प्राप्त गर्नुहोस्, 第一志望だった企業からを受け取った。,मैले कम्पनीबाट प्रस्ताव प्राप्त गरें जुन मेरो पहिलो रोजाइ थियो।,ネパール語,N2
4,制限,  せいげん,सीमा,सीमा,तरल,लाजर,सीमा,きゅうじんこうこくにねいねいの制限はかいている。,विद्यालय वर्षभरि कडा प्रतिबन्धहरू छन्।,ネパール語,N2
5,動機,どうき,उदेश्य,नजर,उद्देश्य,मीलन,उद्देश्य,面接で志望の動機をうまく伝える。,अन्तर्वार्तामा आवेदन दिनको लागि तपाईंको प्रेरणा व्यक्त गर्नुहोस्।,ネパール語,N2
6,国旗,こっき,राष्टिय झन्डा,छत,राष्ट्र,राष्ट्रिय झण्डा,राष्ट्रिय झण्डा,兄に自立して、一人暮らしをしている。,मेरो कान्छो भाइलाई संसारभरका देशहरूको राष्ट्रिय झण्डा थाहा छ।,ネパール語,N2
7,権利,けんり,अधिकार,अधिकार,गलत,सम्झना,अधिकार,どんな人にも生きる権利がある。,प्रत्येक मानिसलाई बाँच्ने अधिकार छ।,ネパール語,N2
8,視線,しせん,आखाले भ्याउने ठाउँ,भण्डारण,आखाले भ्याउने ठाउँ,तीर,आखाले भ्याउने ठाउँ,二人は、しばらく視線を合わせなかった。,दुवैले केही समय आँखा सम्पर्क गरेनन् ।,ネパール語,N2
9,合同,ごうどう,संयुक्त,स्पेस,संयुक्त,असफल,संयुक्त,いろいろな企業の合同説明会に参加した。,मैले धेरै संयुक्त कम्पनी अभिमुखीकरणहरूमा भाग लिएँ,ネパール語,N2
10,不問,ふもん,उल्लेख नगरिएको,उल्लेख नगरिएको,संयुक्त,उल्लेख गर्नुहोस्,उल्लेख नगरिएको,求人広告に経験不問と書いてある。,जागिरको विज्ञापनले कुनै अनुभव आवश्यक छैन भन्छ।,ネパール語,N2
11,特技,とくぎ,विशेष क्षमता,दक्षिणतिर फर्काउने,विशेष क्षमता,सक्षम,विशेष क्षमता,"わたしの趣味.特技は,テニスと料理です。",मेरो शौक र विशेषता टेनिस र खाना पकाउने हो।,ネパール語,N2
12,肝心な,かんじんな,महत्त्वपूर्ण,महत्त्वपूर्ण,भिजुअल,भाइरल,महत्त्वपूर्ण,日本の会社では協調性が肝心だ。,अरूसँग सहकार्य गर्ने क्षमता जापानी कम्पनीहरूमा महत्त्वपूर्ण छ।,ネパール語,N2
13,屋根,やね,छत,रोक,भुइँ,छत,छत,あの青い屋根が山田さんの家です。,निलो छाना भएको त्यो घर तमारा परिवारको बसोबास हो,ネパール語,N2
14,家屋,かおく,घर,घर,गाउँ,कुटीर,घर,"実家は家屋は大きくないが,庭がとても広い.",मेरो आमाबुवाको घर ठूलो छैन तर ठूलो बगैचा छ।,ネパール語,N2
15,物置,ものおき,भण्डारण,सुरक्षा,भण्डारण,भरिएको,भण्डारण,使わない物は物置に入れておく。,प्रयोग नगरिएका वस्तुहरू भण्डारणमा छोडिनेछन्।,ネパール語,N2
16,空間,くうかん,स्पेस,स्पेस,केन्द्रीय,विशेष,स्पेस,"この部屋は,空間を広く見せる工夫をしている。",यो कोठा फराकिलो देखिने गरी डिजाइन गरिएको हो।,ネパール語,N2
17,手前,てまえ,आफै तर्फ,कर,आफै तर्फ,अगाडि,आफै तर्फ,そのドアは手前に引いてください。,त्यो ढोका तिमी तिर तान।,ネパール語,N2
18,南向き,みなみむき,दक्षिणतिर फर्केर,दक्षिणतिर फर्केर,उत्तरतिर फर्केर,पश्चिमतर्फ फर्केर,दक्षिणतिर फर्केर,この部屋は南向きで暖かい。,यो कोठा दक्षिणतिर छ र न्यानो छ।,ネパール語,N2
19,温もり,ぬくもり,न्यानोपन,न्यानोपन,तातो,पर्खनुहोस्,न्यानोपन,この家は木の温もりがかんじられる。,तपाईं यस घरमा काठको न्यानोपन महसुस गर्न सक्नुहुन्छ।,ネパール語,N2
20,停止,ていし,रोक,उद्घाटन,सवारी,रोक,रोक,"今, エレベーターが停止している。",अहिले लिफ्ट चलिरहेको छैन।,ネパール語,N2
21,物音,ものおと,ध्वनि,जिल्ला,स्केल,ध्वनि,ध्वनि,上の部屋で大きな物音がする。,मैले माथिको कोठाबाट ठूलो आवाज सुनें,ネパール語,N2
22,警備,けいび,सुरक्षा,सुरक्षा,असुरक्षित,सुरक्षित,सुरक्षा,このアパートは警備が厳しい。,यस अपार्टमेन्टमा कडा सुरक्षा छ।,ネパール語,N2
23,新築,しんちく,नवनिर्मित,सीमाना,नवनिर्मित,नयाँ मल,नवनिर्मित,このアパートは新築ではないが、たってからまだ2年だ。,"यो अपार्टमेन्ट भर्खरै बनेको होइन, तर भवन दुई वर्ष पुरानो हो।",ネパール語,N2
24,税金,ぜいきん,कर,वार्षिक,बिल,नवनिर्मित,नवनिर्मित,市役所から税金の支払い通知が来た。,महानगरीय कार्यालयले मलाई कर तिर्न माग गर्दै सूचना पठायो ।,ネパール語,N2
25,納める,おさめる,भुक्तान,यो वर्ष,भुक्तानी,भुक्तान,भुक्तान,"私は税金を,きちんと納めている.",म मेरो सबै कर तिर्छु।,ネパール語,N2
26,含む,ふくむ,समावेश गर्नुहोस्,समावेश गर्नुहोस्,बन्द,फिल्टर गर्नुहोस्,समावेश गर्नुहोस्,税込み価格は消費税を含む。,मूल्यमा कर समावेश छ।,ネパール語,N2
27,間,ま,उद्घाटन,सारांश,उद्घाटन,बन्द गर्नुहोस्,उद्घाटन,出かけるまでに少し間がある。,म जानु अझै केहि समय छ।,ネパール語,N2
28,地区,ちく,जिल्ला,प्रयोग गर्नुहोस्,जिल्ला,उपत्यका,जिल्ला,ここは学校や幼稚園が多い地区だ。,जिल्लामा धेरै विद्यालय र किन्डरगार्टन छन्।,ネパール語,N2
29,中間,ちゅうかん,मध्य,मध्य,बायाँ,सहि,मध्य,"家と駅の中間に,おしゃれなカフェがある。",त्यहाँ घर र स्टेशन बीच आधा बाटो स्थित एक फैंसी क्याफे छ।,ネパール語,N2
30,境,さかい,सीमाना,समापन,लीभर,सीमाना,सीमाना,隣の町との境に川が流れている。,छिमेकीको सिमानामा नदी बगेको छ ।,ネパール語,N2
31,年間,ねんかん,वार्षिक,वार्षिक,मिशन,पूर्ण,वार्षिक,年間の訪日観光客が急に増えた。,जापान भ्रमण गर्ने विदेशीको संख्या वर्षेनी अचानक बढेको छ ।,ネパール語,N2
32,本年,ほんねん,यो वर्ष,यो वर्ष,यो महिना,यो दिन,यो वर्ष,本年もよろしくお願いします。,म गत वर्ष जस्तै यस वर्ष पनि तपाईंसँग धेरै समय बिताउन तत्पर छु।,ネパール語,N2
33,束,たば,बन्डल,सीसा,बोतल,बन्डल,बन्डल,"本は束にして,ひもでしばる。",किताबहरू बन्डल गर्नुहोस् र तिनीहरूलाई तारले बाँध्नुहोस्।,ネパール語,N2
34,要旨,ようし,सारांश,लेख्दै,सुन्दै,सारांश,सारांश,レポートの要旨を800字程度にまとめた。,मैले रिपोर्टलाई लगभग 800 शब्दहरूमा संक्षेप गरें।,ネパール語,N2
35,用いる,もちいる,प्रयोग गर्नुहोस्,धनी,भिखारी,प्रयोग गर्नुहोस्,प्रयोग गर्नुहोस्,"デ-タを用いて,問題を分析する。",समस्या विश्लेषण गर्न डाटा प्रयोग गर्नुहोस्।,ネパール語,N2
36,手書き,てがき,हस्तलिखित,अविचार,हस्तलिखित,विचार,हस्तलिखित,手書きのレポートは受け付けません。,हस्तलिखित कागजहरू स्वीकार गरिने छैन।,ネパール語,N2
37,完成,かんせい,समापन,पुरा,आधा,समापन,समापन,何度も書き直してやっとレポートが完成した,मैले अन्ततः रिपोर्टलाई धेरै पटक पुन: लेखे पछि पूरा गरें,ネパール語,N2
38,休講　,きゅうこう,कक्षा रद्द गरियो,सम्पन्न,आधा हो,कक्षा रद्द गरियो,कक्षा रद्द गरियो,先生の都合で今日は休講になった,प्रोफेसरहरूको परिस्थितिको कारण कक्षा रद्द गरिएको थियो।,ネパール語,N2
