ID,言葉,ふりがな,言葉意味,答A,答B,答C,正答,例,例意味,言語,
1,順序,じゅんじょ,urutan,kebalikan,urutan,perkalian,urutan,順序を守らずに作業を行うと問題が生じます。,"Jika melakukan pekerjaan tanpa mematuhi urutan, masalah akan timbul.",インドネシア語,N2
2,現象,げんしょう,fenomena,keajaiban,fenomena,sihir,fenomena,最新の研究によると、この現象は予測可能です。,"Menurut penelitian terbaru, fenomena ini dapat diprediksi.",インドネシア語,N2
3,指示,しじ,petunjuk,kelelahan,bukti,petunjuk,petunjuk,新しいプロジェクトに関する指示がチームに伝えられました。,Petunjuk tentang proyek baru telah disampaikan kepada tim.,インドネシア語,N2
4,効果,こうか,efek,efek,kelebihan,alergi,efek,眠りの質に良い効果をもたらす方法を探しています。,Kami sedang mencari cara yang memberikan efek positif pada kualitas tidur.,インドネシア語,N2
5,発展,はってん,pengembangan,pemilihan,penyuluhan,pengembangan,pengembangan,社会的な変化は技術の発展によってもたらされることがあります。,Perubahan sosial kadang-kadang disebabkan oleh perkembangan teknologi.,インドネシア語,N2
6,基準,きじゅん,standar,standar,kebutuhan,kelaparan,standar,食品の表示基準によれば、この製品は有機認定を受けています。,"Menurut standar label makanan, produk ini telah mendapatkan sertifikasi organik.",インドネシア語,N2
7,確認,かくにん,konfirmasi,atur ulang,konfirmasi,melihat,konfirmasi,メールを確認すると、重要な情報が届いていました。,"Setelah memeriksa email, saya menerima informasi penting.",インドネシア語,N2
8,緊張,きんちょう,ketegangan,ketegangan,santai,kegembiraan,ketegangan,面接の時は自分自身を緊張せずに自然体で話すように心掛けています。,Saya berusaha berbicara dengan sikap alami tanpa gugup saat wawancara.,インドネシア語,N2
9,認識,にんしき,kesadaran,pingsan,kesadaran,kesedihan,kesadaran,環境問題の重要性を認識して行動することが必要です。,Penting untuk menyadari dan bertindak dalam menghadapi isu lingkungan.,インドネシア語,N2
10,関係,かんけい,hubungan,tolak ukur,pertimbangan,hubungan,hubungan,家族との関係を大切にすることは幸せな生活の秘訣です。,Menjaga hubungan dengan keluarga adalah kunci kehidupan yang bahagia.,インドネシア語,N2
11,技術,ぎじゅつ,teknologi,modern,teknologi,canggih,teknologi,技術の進歩により、生活の質が向上しています。,Kemajuan teknologi telah meningkatkan kualitas hidup.,インドネシア語,N2
12,活動,かつどう,kegiatan,kegiatan,kesibukan,keringatan,kegiatan,学校の文化祭では演劇活動に参加しています。,Saya berpartisipasi dalam kegiatan teater di festival budaya sekolah.,インドネシア語,N2
