ID,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,レベル
1,技術,ぎじゅつ ,प्रविधि,शिक्षक,मन्दिर,प्रविधि,प्रविधि,現代のテクノロジーは私たちに多くのものを与えてくれます。,आधुनिक प्रविधिले हामीलाई धेरै कुरा दिन्छ।,ネパール語,N2
2,代表,だいひょう,प्रतिनिधि ,प्राप्त गर्नुहोस्,प्रतिनिधि ,रेकर्ड,प्रतिनिधि ,昨日私たちが喧嘩した男は営業担当者でした。,हिजो हामीले झगडा गरेको मान्छे एक विक्रेता थियो।,ネパール語,N2
3,忠告,ちゅうこく,सल्लाह,सल्लाह,ठेगाना,अभिनेता,सल्लाह,アドバイスをいただき大変感謝しております。,तपाईको सल्लाहको लागि धेरै धेरै धन्यवाद।,ネパール語,N2
4,お世辞,おせじ,चापलूसी ,चापलूसी ,सुन्नु,स्वाद,चापलूसी ,お世辞は友人を生みますが、真実は敵意を生みます。,"चापलुसीले साथीहरू जन्माउँछ, तर सत्यले शत्रुता पैदा गर्छ।",ネパール語,N2
5,同僚,どうりょう,सहकर्मी,सहकर्मी,सहयात्री,खेलकुद,सहकर्मी,同僚は私をとても温かく迎えてくれました。,मेरा सहकर्मीहरूले मलाई धेरै न्यानो स्वागत गरे।,ネパール語,N2
6,上等,じょうとう,प्रथम श्रेणी,माध्यमिक,निजी,प्रथम श्रेणी,प्रथम श्रेणी,お客さまに上等のお茶を出しました.               ,मैले पाहुनालाई एक कप चिया दिएँ।,ネパール語,N2
7,不問,ふもん,प्रश्न बिहिन,समस्या,प्रश्न बिहिन,अभ्यास,प्रश्न बिहिन,求人広告に、性別不問と書いている。,जागिरको विज्ञापनमा लिङ्गले फरक पर्दैन भनिएको छ ।,ネパール語,N2
8,企業,きぎょう,उद्यम,पसल,भाडा,उद्यम,उद्यम,気になる企業にエントリーした。,मलाई रुचि भएको कम्पनीमा प्रवेश गरें।,ネパール語,N2
9,騒音,そうおん,कोलाहल,कोलाहल,आवाज,मौन,कोलाहल,騒音トラブルで近所が対立している。,छिमेकीहरू आवाजको समस्यामा विवादमा छन्।,ネパール語,N2
10,関わる,かかわる,संलग्न हुनुहोस्,उत्पादन,संलग्न हुनुहोस्,बहाना,संलग्न हुनुहोस्,命に関わるようなケガがなくてよかった。,म खुसी छु कि त्यहाँ कुनै जीवन-धम्कीपूर्ण चोटहरू थिएनन्।,ネパール語,N2
11,ありがたい,ありがたい,कृतज्ञ,परिवार,साथी,कृतज्ञ,कृतज्ञ,家族には本当に感謝しています。,म मेरो परिवार प्रति धेरै आभारी छु।,ネパール語,N2
12,つくづく,つくづく,"गहिरो, ठूलो",उज्यालो,"गहिरो, ठूलो",कर्तव्य,"गहिरो, ठूलो",最近、家族にとても感謝しています。,म आजकाल मेरो परिवार प्रति धेरै आभारी छु।,ネパール語,N2
13,役目,やくめ,कर्तव्य,जागिर,जोश,कर्तव्य,कर्तव्य,投票するのは国民の義務です。,भोट हाल्नु नागरिकको कर्तव्य हो ।,ネパール語,N2
14,地位,ちい,स्थिति,सम्मान,स्थिति,संवेदना,स्थिति,大切な人に話すのは少し難しい。,महत्त्वपूर्ण व्यक्तिहरूसँग कुरा गर्न अलि गाह्रो छ।,ネパール語,N2
