.,言葉,フリガナ,言葉意味,答A,答B,答C,正答,例,例意味,言語,レベル
,診察,しんさつ,Khám bệnh,Bác sĩ,Bệnh viện,Khám bệnh,Khám bệnh,診察時間は何時から何時までですか。,Thới gian khám bệnh từ mấy giờ đến mấy giờ?,ベトナム語,N3
,観察,かんさつ,"Quan sát, theo dõi",Quan sát,Tìm kiếm,Kiểm tra,Quan sát,その男の子は一日中、鳥を観察していた。,Cậu bé đã quan sát những con chim suốt cả ngày.,ベトナム語,N3
,違反,いはん,Vi phạm,Phản đối,Vi phạm,Kiểm tra,Vi phạm,ルールに違反して退場になった選手が３人もいる。,Ba cầu thủ bị đuổi khỏi sân vì phạm luật.,ベトナム語,N3
,反抗,はんこう,Phản kháng,Vi phạm,Phản kháng,Đồng tình,Phản kháng,子供は親に反抗するものです。,Con cái nổi loạn chống lại cha mẹ.,ベトナム語,N3
,欠陥,けっかん,"Khuyết điểm, thiếu sót, sai lầm",Khuyết điểm,Đồng tình,Phản đối,Khuyết điểm,このモデルには多くの欠陥車があります,Mẫu xe này có nhiều xe bị lỗi.,ベトナム語,N3
,命じる,めいじる,"Ban hành, bổ nhiệm, ra lệnh",hoàn thành,ra lệnh,Hướng dẫn,ra lệnh,母は私に今日は出かけないように命令した。,Hôm nay mẹ tôi ra lệnh cấm tôi ra ngoài.,ベトナム語,N3
,生命,せいめい,"Sinh mạng, Sự sống",Khám phá,Tìm kiếm,Sự sống,Sự sống,生命の起源については数多くの学説 がある。,Có rất nhiều giả thuyết về nguồn gốc của sự sống.,ベトナム語,N3
,場面,ばめん,"Cảnh, bối cảnh",bề mặt,Khó khăn,bối cảnh,bối cảnh,その場面はスローモーションで再生された。,Cảnh quay này được làm chậm lại.,ベトナム語,N3
,警告,けいこく,"Cảnh báo, cảnh cáo",phạm vi,Cảnh báo,Cảnh sát,Cảnh báo,医者は危険の可能性を警告する。,Các bác sĩ cảnh báo nguy hiểm có thể xảy ra.,ベトナム語,N3
,登山,とざん,leo núi,sân khấu,Lối vào,leo núi,leo núi,明日は登山の装備を準備します。,ngày mai chuẩn bị dụng cụ để leo núi.,ベトナム語,N3
,次々,つぎつぎ,"Lần lượt, nối tiếp",Tiếp tục,nối tiếp,Kết thúc,nối tiếp,次々に事件が起きた。,Một sự kiện này nối tiếp một sự kiện khác.,ベトナム語,N3
,与える,あたえる,"Cho ,đưa , tặng",Tặng,Vào,Quan sát,Tặng,成績の良い学生に奨学金をあたえる。,tặng học bổng cho học sinh giỏi,ベトナム語,N3
,両替,りょうがえ,đổi tiền,Chuyển tiền,Đếm tiền,đổi tiền,đổi tiền,両替所はどこですか。,Chỗ đổi tiền ở đâu?,ベトナム語,N3
,乗客,じょうきゃく,Hành khách .,Chuyến bay,Hành khách .,Du lịch,Hành khách .,乗客は一定量の荷物を機内に持ち込むことができる。,Hành khách có thể mang một lượng hành lý nhất định trên máy bay.,ベトナム語,N3
